Language accepted: Java1.7 Parser
Command line: ../../jplag_helper/test_files 
initialize ok
197 submissions

197 submissions parsed successfully!
0 parser errors!


Comparing 100e6263.java-28e913dd.java: 0.0
Comparing 100e6263.java-2a5a8e11.java: 10.0
Comparing 100e6263.java-2a747371.java: 8.0
Comparing 100e6263.java-2c0d1dc7.java: 12.955465
Comparing 100e6263.java-2dd1758d.java: 0.0
Comparing 100e6263.java-5394e6b5.java: 17.624521
Comparing 100e6263.java-5a3e7273.java: 7.4074073
Comparing 100e6263.java-624d42d9.java: 0.0
Comparing 100e6263.java-8817f911.java: 12.931034
Comparing 100e6263.java-882778f3.java: 0.0
Comparing 100e6263.java-88410179.java: 8.0
Comparing 100e6263.java-88424efb.java: 7.9365077
Comparing 100e6263.java-89c0ad55.java: 5.625
Comparing 100e6263.java-8a30813b.java: 8.810573
Comparing 100e6263.java-8b8148d7.java: 0.0
Comparing 100e6263.java-8d44b4f3.java: 0.0
Comparing 100e6263.java-8f24bd8f.java: 0.0
Comparing 100e6263.java-8f32bdd3.java: 10.0
Comparing 100e6263.java-8f32d4b7.java: 10.3092785
Comparing 100e6263.java-9247808b.java: 7.874016
Comparing 100e6263.java-944415a9.java: 7.9510703
Comparing 100e6263.java-946c247d.java: 10.10101
Comparing 100e6263.java-947c1517.java: 6.451613
Comparing 100e6263.java-95cdbe4f.java: 0.0
Comparing 100e6263.java-9605beb9.java: 12.820513
Comparing 100e6263.java-9763b971.java: 0.0
Comparing 100e6263.java-97c84219.java: 22.018349
Comparing 100e6263.java-bcf1916b.java: 24.096386
Comparing 100e6263.java-bcfc055f.java: 7.117438
Comparing 100e6263.java-bcfce2f9.java: 9.716599
Comparing 100e6263.java-bd0e2cef.java: 10.434783
Comparing 100e6263.java-bd1a059b.java: 9.022556
Comparing 100e6263.java-bd1b5c13.java: 6.779661
Comparing 100e6263.java-bd272d95.java: 0.0
Comparing 100e6263.java-bd35543d.java: 17.120623
Comparing 100e6263.java-bd467ff5.java: 0.0
Comparing 100e6263.java-bea3aee1.java: 6.4724917
Comparing 100e6263.java-becf4ebf.java: 0.0
Comparing 100e6263.java-becf5af5.java: 10.256411
Comparing 100e6263.java-bed12071.java: 7.4324327
Comparing 100e6263.java-bedb8d7f.java: 0.0
Comparing 100e6263.java-bedbfa3f.java: 9.352518
Comparing 100e6263.java-bede4831.java: 16.923077
Comparing 100e6263.java-bee9b3e3.java: 12.5
Comparing 100e6263.java-beea9d1d.java: 11.888112
Comparing 100e6263.java-beea9d57.java: 13.278008
Comparing 100e6263.java-beeaa4dd.java: 8.0
Comparing 100e6263.java-beeaf757.java: 18.257261
Comparing 100e6263.java-befa8db7.java: 15.625
Comparing 100e6263.java-befaef8f.java: 0.0
Comparing 100e6263.java-befb54d3.java: 10.0
Comparing 100e6263.java-befb602f.java: 0.0
Comparing 100e6263.java-bf05e6e3.java: 11.711712
Comparing 100e6263.java-bf06485f.java: 10.196078
Comparing 100e6263.java-bf0911fb.java: 7.894737
Comparing 100e6263.java-bf218b79.java: 11.4832535
Comparing 100e6263.java-c05bb295.java: 24.817518
Comparing 100e6263.java-c07441fb.java: 0.0
Comparing 100e6263.java-c0923759.java: 10.23622
Comparing 100e6263.java-c0923edf.java: 0.0
Comparing 100e6263.java-c09389cf.java: 10.48035
Comparing 100e6263.java-c0938cd5.java: 0.0
Comparing 100e6263.java-c093a75f.java: 21.818182
Comparing 100e6263.java-c0da213d.java: 6.6666665
Comparing 100e6263.java-c20c64d7.java: 0.0
Comparing 100e6263.java-c20c777f.java: 10.328638
Comparing 100e6263.java-c21b77bf.java: 8.230453
Comparing 100e6263.java-c21e2a8f.java: 10.878661
Comparing 100e6263.java-c22ae58f.java: 18.88412
Comparing 100e6263.java-c248de89.java: 0.0
Comparing 100e6263.java-c254c319.java: 0.0
Comparing 100e6263.java-c255af15.java: 7.9268293
Comparing 100e6263.java-c2805355.java: 0.0
Comparing 100e6263.java-c28d9159.java: 0.0
Comparing 100e6263.java-c3d2ff33.java: 0.0
Comparing 100e6263.java-c3d30025.java: 0.0
Comparing 100e6263.java-c3dd7f75.java: 0.0
Comparing 100e6263.java-c3dedfd9.java: 11.926605
Comparing 100e6263.java-c3df5437.java: 0.0
Comparing 100e6263.java-c3e10fe9.java: 0.0
