Language accepted: Java1.7 Parser
Command line: ../../jplag_helper/test_files 
initialize ok
240 submissions

240 submissions parsed successfully!
0 parser errors!


Comparing 100e6263.java-28e913dd.java: 62.376236
Comparing 100e6263.java-2a747371.java: 51.643192
Comparing 100e6263.java-2c0d1dc7.java: 43.037975
Comparing 100e6263.java-5a3d9d17.java: 44.186047
Comparing 100e6263.java-62a7d00f.java: 73.17073
Comparing 100e6263.java-8817f911.java: 57.71144
Comparing 100e6263.java-882778f3.java: 33.720932
Comparing 100e6263.java-88410179.java: 65.35433
Comparing 100e6263.java-89c0ad55.java: 56.48148
Comparing 100e6263.java-8a143451.java: 38.095238
Comparing 100e6263.java-8a2f7a59.java: 54.83871
Comparing 100e6263.java-8a30813b.java: 56.544502
Comparing 100e6263.java-8b8148d7.java: 54.545456
Comparing 100e6263.java-8d44b4f3.java: 52.682926
Comparing 100e6263.java-8d7e6ffb.java: 35.497837
Comparing 100e6263.java-8f21e915.java: 63.0
Comparing 100e6263.java-8f32d4b7.java: 57.142857
Comparing 100e6263.java-8f4e1e21.java: 46.739132
Comparing 100e6263.java-910eb659.java: 57.276997
Comparing 100e6263.java-9247808b.java: 38.139534
Comparing 100e6263.java-9440901d.java: 47.272728
Comparing 100e6263.java-945d305b.java: 41.40969
Comparing 100e6263.java-946bb819.java: 37.433155
Comparing 100e6263.java-946c247d.java: 38.0
Comparing 100e6263.java-947c1517.java: 56.122448
Comparing 100e6263.java-95cdbe4f.java: 67.61905
Comparing 100e6263.java-95f9044f.java: 68.31683
Comparing 100e6263.java-96127d8f.java: 33.333332
Comparing 100e6263.java-96144e15.java: 36.27451
Comparing 100e6263.java-9763b971.java: 68.57143
Comparing 100e6263.java-978f54f1.java: 20.588236
Comparing 100e6263.java-97c84219.java: 50.847458
Comparing 100e6263.java-bcf1916b.java: 50.0
Comparing 100e6263.java-bcfc055f.java: 39.805824
Comparing 100e6263.java-bcffb359.java: 0.0
Comparing 100e6263.java-bd002019.java: 58.00866
Comparing 100e6263.java-bd0c4ff9.java: 57.142857
Comparing 100e6263.java-bd0e2cef.java: 74.5098
Comparing 100e6263.java-bd1b5c13.java: 32.71028
Comparing 100e6263.java-bd26ad7f.java: 34.90566
Comparing 100e6263.java-bd272d95.java: 56.48148
Comparing 100e6263.java-bd290a17.java: 64.39024
Comparing 100e6263.java-bd361e77.java: 69.95074
Comparing 100e6263.java-bd467ff5.java: 49.76526
Comparing 100e6263.java-be464b35.java: 57.71144
Comparing 100e6263.java-bea3aee1.java: 59.649124
Comparing 100e6263.java-becf4ebf.java: 55.31915
Comparing 100e6263.java-becf5af5.java: 69.0
Comparing 100e6263.java-bed0252f.java: 54.285713
Comparing 100e6263.java-bed11d6b.java: 54.20561
Comparing 100e6263.java-bed12071.java: 59.71564
Comparing 100e6263.java-bed127bd.java: 69.902916
Comparing 100e6263.java-bedb8d7f.java: 56.565655
Comparing 100e6263.java-bedce697.java: 46.23656
Comparing 100e6263.java-bede4831.java: 69.23077
Comparing 100e6263.java-bee9b3e3.java: 44.052864
Comparing 100e6263.java-beea253b.java: 54.945053
Comparing 100e6263.java-beea9d1d.java: 47.863247
Comparing 100e6263.java-beea9d57.java: 67.63285
Comparing 100e6263.java-beeaa4dd.java: 80.208336
Comparing 100e6263.java-beeaf6b7.java: 48.71795
Comparing 100e6263.java-beeaf757.java: 66.99029
Comparing 100e6263.java-beeb761f.java: 33.62832
Comparing 100e6263.java-beebe013.java: 68.26923
Comparing 100e6263.java-beebe2f7.java: 34.285713
Comparing 100e6263.java-befa8db7.java: 48.484848
Comparing 100e6263.java-bf05e6e3.java: 44.23963
Comparing 100e6263.java-bf05ea67.java: 71.57895
Comparing 100e6263.java-bf06485f.java: 55.445545
Comparing 100e6263.java-bf08fb39.java: 47.393364
Comparing 100e6263.java-bf0902f9.java: 64.11483
Comparing 100e6263.java-bf0911fb.java: 64.948456
Comparing 100e6263.java-bf218b79.java: 67.64706
Comparing 100e6263.java-c05bb295.java: 46.728973
Comparing 100e6263.java-c07441fb.java: 67.59259
Comparing 100e6263.java-c0923759.java: 51.40187
Comparing 100e6263.java-c0923edf.java: 56.862743
Comparing 100e6263.java-c093a75f.java: 64.28571
Comparing 100e6263.java-c0ac8a19.java: 53.773586
Comparing 100e6263.java-c0bac2eb.java: 36.55914
Comparing 100e6263.java-c0bb1997.java: 58.474575
Comparing 100e6263.java-c0d750bb.java: 66.06335
Comparing 100e6263.java-c0da1d01.java: 48.80383
Comparing 100e6263.java-c0da213d.java: 64.51613
Comparing 100e6263.java-c0da94e3.java: 49.4382
Comparing 100e6263.java-c20c64d7.java: 37.438423
Comparing 100e6263.java-c21b77bf.java: 69.30693
Comparing 100e6263.java-c21dc96f.java: 69.14893
Comparing 100e6263.java-c21e2a8f.java: 64.51613
Comparing 100e6263.java-c22ae58f.java: 56.2249
Comparing 100e6263.java-c236c1bf.java: 51.0
Comparing 100e6263.java-c238fc73.java: 66.666664
Comparing 100e6263.java-c23abeaf.java: 0.0
Comparing 100e6263.java-c23abf67.java: 60.82474
Comparing 100e6263.java-c23ad191.java: 38.00905
Comparing 100e6263.java-c248de89.java: 55.454544
Comparing 100e6263.java-c254c319.java: 60.287083
Comparing 100e6263.java-c2805355.java: 66.32653
Comparing 100e6263.java-c28b5683.java: 68.656715
Comparing 100e6263.java-c28d9159.java: 51.807228
Comparing 100e6263.java-c3d30025.java: 44.642857
Comparing 100e6263.java-c3dedfd9.java: 33.333332
Comparing 100e6263.java-c3e10fe9.java: 53.39806
Comparing 100e6263.java-c3efae2f.java: 58.333332
Comparing 100e6263.java-c3fa108f.java: 50.22831
Comparing 100e6263.java-c3fa1b77.java: 43.037975
Comparing 100e6263.java-c3fb7879.java: 59.615383
Comparing 100e6263.java-c3fb7c93.java: 51.231525
Comparing 100e6263.java-c3fcc66f.java: 27.376427
Comparing 100e6263.java-c3fcdd53.java: 60.093895
Comparing 100e6263.java-c3fce495.java: 54.028435
Comparing 100e6263.java-c3fdb9f1.java: 38.29787
Comparing 100e6263.java-c3fdba4d.java: 74.5098
Comparing 100e6263.java-c3fdc5b3.java: 68.93204
Comparing 100e6263.java-c4089f1b.java: 40.44944
Comparing 100e6263.java-c4091737.java: 33.476395
Comparing 100e6263.java-c409843b.java: 57.657658
Comparing 100e6263.java-c40987d7.java: 60.396038
Comparing 100e6263.java-c409f973.java: 60.95238
Comparing 100e6263.java-c40a78b9.java: 54.726368
Comparing 100e6263.java-c40a7cb1.java: 44.976078
Comparing 100e6263.java-c40aff9d.java: 66.02871
Comparing 100e6263.java-c4173659.java: 74.75728
Comparing 100e6263.java-c417aac1.java: 54.92228
Comparing 100e6263.java-c417aafb.java: 69.60784
Comparing 100e6263.java-c417aea1.java: 68.26923
Comparing 100e6263.java-c418269b.java: 32.743362
Comparing 100e6263.java-c4182efb.java: 66.666664
Comparing 100e6263.java-c41900d3.java: 71.204185
Comparing 100e6263.java-c41970f5.java: 65.43779
Comparing 100e6263.java-c4245659.java: 35.121952
Comparing 100e6263.java-c42465b7.java: 63.46154
Comparing 100e6263.java-c4247087.java: 20.576132
Comparing 100e6263.java-c4247157.java: 70.93596
Comparing 100e6263.java-c4253f93.java: 62.13592
Comparing 100e6263.java-c433755f.java: 60.550457
Comparing 100e6263.java-c44346d7.java: 68.0
Comparing 100e6263.java-c44352f5.java: 35.4067
Comparing 100e6263.java-c5762555.java: 60.576923
Comparing 100e6263.java-c595f40d.java: 65.11628
Comparing 100e6263.java-c595f7a9.java: 69.902916
Comparing 100e6263.java-c5b29371.java: 66.666664
Comparing 100e6263.java-c5becd8f.java: 66.666664
Comparing 100e6263.java-c5cde117.java: 60.0
Comparing 100e6263.java-c5dc59f5.java: 67.59259
Comparing 100e6263.java-c5dc6573.java: 56.756756
Comparing 100e6263.java-c5dc6879.java: 58.426968
Comparing 100e6263.java-c5dc779d.java: 45.581394
Comparing 100e6263.java-c5dce83d.java: 60.550457
Comparing 100e6263.java-c5e6dd25.java: 69.268295
Comparing 100e6263.java-c5e6e921.java: 52.173912
Comparing 100e6263.java-c5e6efe5.java: 53.731342
Comparing 100e6263.java-c5e749db.java: 68.59904
Comparing 100e6263.java-c5e7613d.java: 61.083744
Comparing 100e6263.java-c5e7d199.java: 42.574257
Comparing 100e6263.java-c5e7d1bb.java: 53.76344
Comparing 100e6263.java-c5e7d5df.java: 60.869564
Comparing 100e6263.java-c5e8465d.java: 67.94258
Comparing 100e6263.java-c5e8a359.java: 42.69663
Comparing 100e6263.java-c5e8ab97.java: 40.201004
Comparing 100e6263.java-c5e99c13.java: 71.77033
Comparing 100e6263.java-c5ea8439.java: 66.666664
Comparing 100e6263.java-c5ea8819.java: 67.98029
Comparing 100e6263.java-c5eae995.java: 24.203821
Comparing 100e6263.java-c5f4f579.java: 71.02804
Comparing 100e6263.java-c5f503e5.java: 74.25742
Comparing 100e6263.java-c5f64a5f.java: 62.162163
Comparing 100e6263.java-c5f65581.java: 63.106796
Comparing 100e6263.java-c5f73e3d.java: 37.931034
Comparing 100e6263.java-c5f836bd.java: 48.360657
Comparing 100e6263.java-c5f8a395.java: 68.59904
Comparing 100e6263.java-c72b7293.java: 69.565216
Comparing 100e6263.java-c72be9d5.java: 24.489796
Comparing 100e6263.java-c72c56d9.java: 59.482758
Comparing 100e6263.java-c72c6693.java: 63.414635
Comparing 100e6263.java-c72d47b1.java: 47.84689
Comparing 100e6263.java-c72e3731.java: 45.098038
Comparing 100e6263.java-c72f2433.java: 50.691246
Comparing 100e6263.java-c73991d7.java: 46.376812
Comparing 100e6263.java-c739ef2f.java: 66.34615
Comparing 100e6263.java-c739f671.java: 62.83186
Comparing 100e6263.java-c73a0539.java: 48.780487
Comparing 100e6263.java-c73a6f4f.java: 0.0
Comparing 100e6263.java-c73ae6d5.java: 50.86705
Comparing 100e6263.java-c73ae753.java: 77.48691
Comparing 100e6263.java-c73bc3cf.java: 56.108597
Comparing 100e6263.java-c7471e31.java: 69.268295
Comparing 100e6263.java-c74b4071.java: 45.744682
Comparing 100e6263.java-c74b442f.java: 66.34146
Comparing 100e6263.java-c771e3d7.java: 55.50239
Comparing 100e6263.java-c77f9621.java: 38.38384
Comparing 100e6263.java-c79ca9c1.java: 34.57944
Comparing 100e6263.java-c7ac2659.java: 68.965515
Comparing 100e6263.java-c8e30c8d.java: 54.12844
